frame,video_time_s,phone_clock,speed_kmh,distance_remaining_km,eta_min
1,0,08:46,56,19.0,34
2,10,08:46,44,19.0,34
3,20,08:46,45,18.0,33
4,30,08:46,51,18.0,33
5,40,08:46,33,18.0,33
6,50,08:47,18,18.0,33
7,60,08:47,27,18.0,33
8,70,08:47,39,18.0,33
9,80,08:47,47,18.0,33
10,90,08:47,36,18.0,33
11,100,08:47,19,18.0,32
12,110,08:48,17,17.0,33
13,120,08:48,26,17.0,32
14,130,08:48,33,17.0,32
15,140,08:48,39,17.0,32
16,150,08:48,46,17.0,32
17,160,08:48,43,17.0,32
18,170,08:49,35,17.0,31
19,180,08:49,50,17.0,31
20,190,08:49,50,16.0,31
21,200,08:49,40,16.0,31
22,210,08:49,46,16.0,31
23,220,08:50,38,16.0,31
24,230,08:50,43,16.0,30
25,240,08:50,26,16.0,30
26,250,08:50,14,16.0,30
27,260,08:50,15,16.0,30
28,270,08:51,32,16.0,30
29,280,08:51,42,16.0,30
30,290,08:51,45,15.0,29
31,300,08:51,30,15.0,29
32,310,08:51,43,15.0,28
33,320,08:52,47,15.0,28
34,330,08:52,36,15.0,28
35,340,08:52,48,15.0,29
36,350,08:52,62,14.0,28
37,360,08:53,71,14.0,27
38,370,08:53,49,14.0,28
39,380,08:52,47,15.0,28
40,390,08:53,36,14.0,28
41,400,08:53,62,14.0,28
42,410,08:53,57,13.0,27
43,420,08:54,58,13.0,26
44,430,08:54,71,14.0,27
45,440,08:54,49,13.0,27
46,450,08:54,59,13.0,27
47,460,08:55,50,12.0,26
48,470,08:55,50,12.0,26
49,480,08:55,46,12.0,25
50,490,08:55,57,13.0,27
51,500,08:54,58,13.0,26
52,510,08:56,54,11.0,24
53,520,08:56,58,13.0,26
54,530,08:56,63,10.0,23
55,540,08:56,67,9.9,23
56,550,08:57,65,10.0,23
57,560,08:57,61,9.7,22
58,570,08:57,42,12.0,25
59,580,08:57,46,12.0,25
60,590,08:56,48,12.0,26
61,600,08:56,50,12.0,26
62,610,08:56,66,11.0,24
63,620,08:56,58,11.0,24
64,630,08:57,54,11.0,24
65,640,08:57,54,11.0,24
66,650,08:57,63,10.0,23
67,660,08:57,65,10.0,23
68,670,08:57,61,9.7,22
69,680,08:57,66,9.3,22
70,690,08:58,41,9.0,22
71,700,08:58,42,8.8,21
72,710,08:59,53,8.5,21
73,720,08:59,66,9.3,22
74,730,08:59,61,8.2,20
75,740,08:58,41,9.0,22
76,750,08:59,42,8.8,21
77,760,08:59,53,8.5,21
78,770,08:59,63,8.2,21
79,780,08:59,61,7.8,20
80,790,08:59,44,7.5,20
81,800,09:00,58,7.2,19
82,810,09:00,46,7.2,20
83,820,09:00,39,6.7,19
84,830,09:00,45,6.6,18
85,840,09:00,45,6.6,18
86,850,09:00,38,6.8,19
87,860,09:01,45,6.6,18
88,870,09:01,38,6.8,19
89,880,09:01,45,6.6,18
90,890,09:01,45,6.6,18
91,900,09:01,45,6.6,18
92,910,09:01,45,6.6,18
